time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/11/28/22:55:17.348368,1,1669697717,347740411,RL_myo,0.7203979331166016,0.24127196726340133,-0.6470336769439204,0.06451415871424619,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-160.5625,-62.3125,-52.8125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.91552734375,0.611328125,-0.28125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.364407,2,1669697717,363974094,RL_myo,0.7193586230808704,0.22845404091224314,-0.6552108279970426,0.03210441504671117,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-177.0,-70.75,-68.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.94921875,0.65966796875,-0.3662109375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.388182,3,1669697717,386993169,RL_myo,0.717722678880637,0.21741033949934763,-0.6615084950853256,-0.0036621618107694717,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-181.0,-71.1875,-91.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.96826171875,0.7001953125,-0.32373046875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.408535,4,1669697717,407857418,RL_myo,0.7170396199344218,0.20812947769632092,-0.6638170672801132,-0.04339591162524462,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-189.9375,-57.0625,-121.1875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.109375,0.69580078125,-0.24462890625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.424339,5,1669697717,424027681,RL_myo,0.7172324641473403,0.20294425523699317,-0.6613846465407693,-0.08343602914555479,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-176.25,-35.125,-145.875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.2255859375,0.669921875,-0.140625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.447954,6,1669697717,447170734,RL_myo,0.7181417110862375,0.2032476540810106,-0.6541156482841414,-0.12286412242194425,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-153.1875,-11.125,-171.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.2451171875,0.65185546875,0.0146484375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.468583,7,1669697717,467609167,RL_myo,0.7197178286813132,0.20879873574616456,-0.6421430864616771,-0.16143602924542685,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-131.6875,13.625,-194.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.283203125,0.658203125,0.1650390625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.485046,8,1669697717,484635591,RL_myo,0.7222761364099396,0.2181964836627965,-0.625781411746756,-0.19775009987901,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-111.6875,40.5625,-205.875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.283203125,0.59033203125,0.28466796875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.507511,9,1669697717,506999731,RL_myo,0.7251090839436362,0.23175414071834902,-0.6061496896165194,-0.2304113461184534,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-84.4375,63.875,-211.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.21240234375,0.5087890625,0.3828125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/22:55:17.527891,10,1669697717,527456283,RL_myo,0.7273035636115731,0.24988089874335181,-0.5842354574429319,-0.2593414603713976,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-53.1875,81.75,-215.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.06103515625,0.46044921875,0.4814453125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
