time,.data
2022/11/28/23:03:57.603814,"(-1, 10, 2, -20, -13, -1, -25, -3)"
2022/11/28/23:03:57.603883,"(-8, -10, -26, -7, 11, -16, -6, -5)"
2022/11/28/23:03:57.619974,"(1, -9, -3, -2, -3, 2, 9, 1)"
2022/11/28/23:03:57.619989,"(-2, -3, 8, 6, 13, -11, -7, -4)"
2022/11/28/23:03:57.620665,"(2, 8, -7, -3, 5, 35, 6, -2)"
2022/11/28/23:03:57.620676,"(-5, -1, 4, -8, -21, -52, 8, -2)"
2022/11/28/23:03:57.634000,"(3, -3, 5, -1, -13, -10, -21, -3)"
2022/11/28/23:03:57.634063,"(-5, -5, -2, 21, 10, -7, -7, -1)"
2022/11/28/23:03:57.634840,"(-1, 5, -1, -18, 3, 5, -8, 3)"
2022/11/28/23:03:57.634852,"(7, 3, -5, -4, -11, -18, -8, 0)"
2022/11/28/23:03:57.656651,"(-9, -4, -1, 7, -1, 13, 5, -9)"
2022/11/28/23:03:57.656677,"(4, -4, -2, -13, 1, -15, -16, 13)"
2022/11/28/23:03:57.657561,"(2, 9, 14, 4, 2, 2, 14, -22)"
2022/11/28/23:03:57.657577,"(-14, -4, 1, 1, -1, 3, -11, -16)"
2022/11/28/23:03:57.680759,"(-5, -3, -3, 7, -5, 13, 1, 5)"
2022/11/28/23:03:57.680801,"(9, 5, -7, -4, -3, -5, -17, -3)"
2022/11/28/23:03:57.681445,"(-20, -7, -3, -6, -2, -1, 7, 7)"
2022/11/28/23:03:57.681504,"(3, -2, -11, 1, 2, 9, 3, 3)"
2022/11/28/23:03:57.694165,"(9, -4, 5, 3, 4, 1, 2, -2)"
2022/11/28/23:03:57.694187,"(-21, -19, -11, -10, -4, -3, 3, 19)"
2022/11/28/23:03:57.695019,"(18, -5, 7, 9, 5, -3, -7, -5)"
2022/11/28/23:03:57.695046,"(31, 34, -2, -7, -5, -3, 8, 16)"
2022/11/28/23:03:57.716925,"(-29, -5, 6, 2, 7, 7, -13, -11)"
2022/11/28/23:03:57.716957,"(24, 13, -2, 2, -5, -8, 6, -42)"
2022/11/28/23:03:57.717601,"(-52, -34, -18, -9, -2, -6, -11, -10)"
2022/11/28/23:03:57.717623,"(-13, -8, 2, 0, 2, 7, 1, 8)"
2022/11/28/23:03:57.740293,"(-8, -2, 6, -2, -2, 9, -3, -1)"
2022/11/28/23:03:57.740430,"(-15, -4, -6, 7, -1, -9, 6, -4)"
2022/11/28/23:03:57.741124,"(3, 7, -5, -7, -3, -11, -2, 12)"
2022/11/28/23:03:57.741182,"(-4, 2, 8, 4, 3, 23, 1, -26)"
2022/11/28/23:03:57.753983,"(37, 22, -3, -5, -8, -25, -7, 14)"
2022/11/28/23:03:57.754001,"(-4, -37, -9, -3, 3, 3, -7, -2)"
2022/11/28/23:03:57.755022,"(-14, 9, 7, 3, 2, 1, 12, 25)"
