time,.data
2022/11/28/23:03:57.812192,"(-2, 1, 10, 30, 16, 4, -1, 0)"
2022/11/28/23:03:57.812215,"(-1, -1, 3, 3, -1, -1, 3, 2)"
2022/11/28/23:03:57.822554,"(-2, -7, -7, -22, -14, -2, 0, -1)"
2022/11/28/23:03:57.822577,"(0, 3, -11, -35, -9, -5, 2, 1)"
2022/11/28/23:03:57.832208,"(2, -4, -6, -2, -2, -3, -4, -2)"
2022/11/28/23:03:57.832232,"(1, 6, 1, 2, 5, 3, -1, 0)"
2022/11/28/23:03:57.847861,"(-2, -10, -4, 0, -5, -1, 1, 1)"
2022/11/28/23:03:57.847891,"(8, 9, 0, 3, 4, 3, 4, 3)"
2022/11/28/23:03:57.850385,"(-3, -9, -1, -1, 1, -3, -4, -5)"
2022/11/28/23:03:57.850401,"(-4, -4, 0, 2, 1, 3, -6, -7)"
2022/11/28/23:03:57.871341,"(-3, -1, -1, 2, -2, -5, -2, 0)"
2022/11/28/23:03:57.871361,"(-6, -1, 6, -4, -7, -2, 0, -3)"
2022/11/28/23:03:57.871386,"(6, 6, -12, -8, 3, -4, -1, 3)"
2022/11/28/23:03:57.871393,"(-4, -4, -6, 4, -1, -3, -1, -1)"
2022/11/28/23:03:57.882919,"(-1, -4, -2, 0, 8, 0, -1, -3)"
2022/11/28/23:03:57.882949,"(0, -7, -11, -36, -11, 4, -2, -1)"
2022/11/28/23:03:57.891907,"(3, 0, 3, 11, -5, 2, 0, 1)"
2022/11/28/23:03:57.891936,"(1, 8, 20, 42, 21, 2, 2, 0)"
2022/11/28/23:03:57.906510,"(2, 2, 5, 10, 0, -1, 0, -1)"
2022/11/28/23:03:57.906533,"(-1, 0, -2, -17, 0, -2, -1, -2)"
2022/11/28/23:03:57.908587,"(-2, -7, -11, -28, -11, -2, -1, -5)"
2022/11/28/23:03:57.908600,"(1, 12, 3, 12, 5, 0, 0, 2)"
2022/11/28/23:03:57.929337,"(-4, -17, -3, 5, -3, -1, 0, -1)"
2022/11/28/23:03:57.929352,"(1, 2, 0, -3, 1, 1, -2, -1)"
2022/11/28/23:03:57.931364,"(-5, 0, 2, -5, -6, -3, -3, -3)"
2022/11/28/23:03:57.931389,"(-6, -5, -6, -8, -4, -4, -1, -2)"
2022/11/28/23:03:57.942586,"(8, 11, 1, 0, 2, 1, 2, 5)"
2022/11/28/23:03:57.942605,"(0, -2, -1, 3, -1, -4, 0, 0)"
2022/11/28/23:03:57.952479,"(-3, -5, 1, 5, 0, -1, -1, -4)"
2022/11/28/23:03:57.952490,"(1, -2, -1, -5, -3, -1, -2, -1)"
2022/11/28/23:03:57.966552,"(-1, 1, -2, 0, 1, 2, -1, 0)"
2022/11/28/23:03:57.966657,"(-1, -1, -3, 3, 1, -2, -1, -2)"
2022/11/28/23:03:57.968770,"(1, -1, 1, -3, -6, 1, -1, 2)"
2022/11/28/23:03:57.968788,"(-5, -5, -3, -5, -4, -3, -2, 0)"
2022/11/28/23:03:57.989523,"(-5, 2, -3, 2, -3, -6, -4, -4)"
2022/11/28/23:03:57.989537,"(-4, -7, -5, 1, 2, 0, 0, 0)"
2022/11/28/23:03:57.990917,"(7, 7, 4, -4, -1, 1, 3, 2)"
2022/11/28/23:03:57.990929,"(3, 0, -3, -3, -3, 0, -1, 0)"
2022/11/28/23:03:58.002535,"(-4, -5, -1, 2, -3, -1, -2, -4)"
2022/11/28/23:03:58.002548,"(-1, -1, 3, 1, 8, -1, -1, 0)"
2022/11/28/23:03:58.012190,"(1, 1, -6, -13, -6, -2, 0, 1)"
2022/11/28/23:03:58.012206,"(-2, -2, -1, 1, -1, -1, 0, -2)"
2022/11/28/23:03:58.026488,"(1, 5, 1, 1, -3, -1, 1, 0)"
2022/11/28/23:03:58.026510,"(-2, 7, -1, 9, 0, 1, -1, -3)"
2022/11/28/23:03:58.028372,"(0, -11, -1, 7, 7, -3, -1, -1)"
2022/11/28/23:03:58.028396,"(-5, 0, 1, -6, -6, -3, -3, -3)"
2022/11/28/23:03:58.049919,"(-3, -4, -4, -5, -2, 1, 0, -1)"
2022/11/28/23:03:58.049961,"(4, 2, 2, -6, -5, 1, -1, 2)"
2022/11/28/23:03:58.051335,"(-5, 2, 0, 2, -5, -5, -4, -3)"
2022/11/28/23:03:58.051360,"(-4, -7, -11, -24, -16, -2, 0, -4)"
2022/11/28/23:03:58.063576,"(9, 10, 5, 11, 27, 8, 3, 5)"
2022/11/28/23:03:58.063593,"(0, 2, 3, 12, -2, -2, -3, 1)"
2022/11/28/23:03:58.072034,"(-2, -2, 0, -5, -11, -5, -1, -2)"
2022/11/28/23:03:58.072045,"(-4, -5, 1, 3, 5, -2, -1, -1)"
2022/11/28/23:03:58.087011,"(-2, -2, -10, -17, -8, -2, -1, -3)"
2022/11/28/23:03:58.087052,"(2, -1, 0, 5, 12, 3, 3, 1)"
2022/11/28/23:03:58.089069,"(-3, -4, -2, 6, 4, 3, -1, -1)"
2022/11/28/23:03:58.089093,"(3, -4, -2, -14, -19, -1, 0, 0)"
2022/11/28/23:03:58.109104,"(-3, 5, 6, 2, 5, -2, -3, -1)"
2022/11/28/23:03:58.109126,"(-6, 1, 5, 5, -2, -8, -5, -4)"
2022/11/28/23:03:58.110877,"(1, -3, -4, 6, 2, -1, -2, -1)"
2022/11/28/23:03:58.110898,"(3, 6, -3, 3, 7, 5, 5, 3)"
2022/11/28/23:03:58.123381,"(-3, -12, -3, -45, -17, -2, -4, -5)"
2022/11/28/23:03:58.123399,"(1, -1, 1, 34, -15, -6, 0, 1)"
2022/11/28/23:03:58.131973,"(-5, 10, 3, -17, 2, -5, -3, -2)"
2022/11/28/23:03:58.131985,"(0, -2, 11, 18, 28, 4, 0, -2)"
2022/11/28/23:03:58.146173,"(3, -3, -11, 19, 9, 3, -1, 3)"
2022/11/28/23:03:58.146196,"(-2, -2, -10, -36, -22, -1, 0, -3)"
2022/11/28/23:03:58.152757,"(3, 2, -8, -11, 3, -2, 3, 4)"
2022/11/28/23:03:58.152772,"(1, 2, 12, 33, -4, -2, 0, 2)"
2022/11/28/23:03:58.169640,"(-4, -4, 6, -9, -5, -2, 0, -2)"
2022/11/28/23:03:58.169669,"(2, -3, -2, 0, 4, 3, 1, 2)"
2022/11/28/23:03:58.170959,"(2, 0, -14, -9, -10, 0, 0, 0)"
2022/11/28/23:03:58.170978,"(-6, -2, 1, -17, -1, -5, -5, -3)"
2022/11/28/23:03:58.191681,"(0, 0, 0, 21, 2, 0, 0, -1)"
2022/11/28/23:03:58.191696,"(0, 0, 5, -9, 2, 1, 0, -2)"
2022/11/28/23:03:58.193613,"(3, -3, 4, -7, 0, -3, -2, 2)"
2022/11/28/23:03:58.193626,"(1, 0, -6, 14, 1, 0, -1, 0)"
2022/11/28/23:03:58.205926,"(-1, 3, 1, 3, -5, -3, -1, 1)"
2022/11/28/23:03:58.205952,"(-2, -4, 1, 1, 7, 1, -2, -2)"
2022/11/28/23:03:58.212749,"(0, -5, 6, 2, 3, 5, 0, -2)"
2022/11/28/23:03:58.212774,"(0, 1, -6, 10, 8, -3, 1, 0)"
2022/11/28/23:03:58.229115,"(1, 0, -5, 1, -9, -6, 0, 0)"
2022/11/28/23:03:58.229135,"(-1, -2, -4, -11, -1, -2, -1, -1)"
2022/11/28/23:03:58.230900,"(-4, -4, 3, 0, 1, 2, 0, -3)"
2022/11/28/23:03:58.230924,"(3, -3, -4, -10, -8, 0, -1, 1)"
2022/11/28/23:03:58.252112,"(-2, 3, 2, 2, 3, 0, -1, -2)"
2022/11/28/23:03:58.252490,"(-2, 2, -5, -5, 0, -4, -1, -2)"
2022/11/28/23:03:58.254886,"(-1, -5, 2, 7, -1, -3, 0, -3)"
2022/11/28/23:03:58.254908,"(-2, -2, -6, -5, -3, -1, -2, -1)"
2022/11/28/23:03:58.265785,"(-2, -3, -3, 2, 0, -1, -3, -1)"
2022/11/28/23:03:58.265959,"(0, 4, 0, 0, 1, 1, -1, 2)"
2022/11/28/23:03:58.272667,"(-1, 4, 2, 4, 0, 1, 0, -1)"
2022/11/28/23:03:58.272696,"(-1, 6, 3, -5, -4, -4, -2, -5)"
2022/11/28/23:03:58.289497,"(-5, -16, -6, -3, -2, -2, 1, 2)"
2022/11/28/23:03:58.289508,"(2, -2, -2, 1, -1, 2, -1, -4)"
2022/11/28/23:03:58.290677,"(-4, -2, 0, 2, -1, -1, -2, -3)"
2022/11/28/23:03:58.290702,"(2, 1, -3, -6, -2, -2, 0, 2)"
2022/11/28/23:03:58.311736,"(-4, 1, 3, 1, -1, 0, -2, -3)"
2022/11/28/23:03:58.312051,"(-4, -6, -3, -4, 0, -3, -3, -2)"
2022/11/28/23:03:58.314008,"(1, -5, 0, 2, 1, 1, -1, 0)"
2022/11/28/23:03:58.314022,"(-4, -2, -3, -4, -1, -2, -4, -2)"
2022/11/28/23:03:58.326389,"(-2, 5, -3, -4, -5, -5, -3, -3)"
2022/11/28/23:03:58.326408,"(1, -5, -2, -7, -2, -1, 2, 2)"
2022/11/28/23:03:58.334976,"(2, -2, -7, 4, 5, 3, 1, -2)"
2022/11/28/23:03:58.335005,"(0, 5, 10, 1, -4, -1, -2, 0)"
2022/11/28/23:03:58.349061,"(1, 1, 1, 4, 1, -1, 0, -1)"
2022/11/28/23:03:58.349083,"(-4, -7, -9, -6, -5, -5, -3, -3)"
2022/11/28/23:03:58.350814,"(-4, -1, -3, -1, 0, 0, 0, 0)"
2022/11/28/23:03:58.350827,"(-2, -9, 1, 4, -1, 1, -1, 0)"
2022/11/28/23:03:58.371683,"(3, 3, 4, 1, 0, 0, -1, 0)"
2022/11/28/23:03:58.372132,"(-5, 1, 1, -2, -4, -6, -2, -2)"
2022/11/28/23:03:58.373686,"(3, 0, -1, -2, 1, 3, 2, 4)"
2022/11/28/23:03:58.373699,"(0, -4, -9, -3, 1, -1, -1, 0)"
2022/11/28/23:03:58.386067,"(1, 2, 1, 1, 0, 2, 1, 1)"
2022/11/28/23:03:58.386084,"(-4, -1, 2, -2, -1, -3, -2, -4)"
2022/11/28/23:03:58.392566,"(-2, 5, -2, -2, -2, -4, -3, -2)"
2022/11/28/23:03:58.392580,"(-1, -4, -2, -1, 1, 3, 1, -1)"
2022/11/28/23:03:58.409106,"(4, 1, -1, -3, 0, 3, 0, 2)"
