time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/11/28/23:10:20.221311,12308,1669698620,220996379,RU_myo,0.6405075038122725,-0.004943882962530405,-0.6358077632182622,-0.43066713806931534,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",178.8125,211.3125,-34.5625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.15576171875,0.01416015625,0.50927734375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.242600,12309,1669698620,242210149,RU_myo,0.6645249209384831,0.040342668326629076,-0.6269287277626836,-0.4046473388888816,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",240.125,238.4375,-28.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.6904296875,-0.1591796875,-0.00439453125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.260945,12310,1669698620,260015249,RU_myo,0.691714957348142,0.09588672002064158,-0.6110260688266346,-0.3728046377377968,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",285.125,295.4375,-26.5625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.92236328125,0.13525390625,0.27490234375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.280775,12311,1669698620,280614852,RU_myo,0.714473534664435,0.1544180798480284,-0.5934414981669487,-0.33691217421388014,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",308.9375,296.4375,-30.25,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.83056640625,0.1962890625,0.171875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.302610,12312,1669698620,302221298,RU_myo,0.7287422704577862,0.21520479444172147,-0.5752425376101035,-0.3028491747078338,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",315.625,274.75,-58.8125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.85595703125,0.55712890625,0.03369140625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.319216,12313,1669698620,318715572,RU_myo,0.7345129600275128,0.2694150079409541,-0.5574461412607009,-0.27777700524224785,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",268.375,221.375,-84.125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.57177734375,0.74462890625,-0.0244140625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.341956,12314,1669698620,341600656,RU_myo,0.7416399932458558,0.3094489972641338,-0.537293791502203,-0.25598206992618877,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",194.5625,208.8125,-65.875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.1044921875,0.37158203125,0.087890625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.363026,12315,1669698620,362457275,RU_myo,0.7500020815146197,0.34222507088643167,-0.5162367842977419,-0.23211734342448717,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",163.875,210.625,-30.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.7861328125,0.31494140625,-0.1396484375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.379294,12316,1669698620,378937244,RU_myo,0.7534247722845299,0.3723178152086546,-0.4990279437944196,-0.2114276904725868,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",155.8125,170.1875,-33.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.65478515625,0.4892578125,-0.24169921875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.401837,12317,1669698620,401281356,RU_myo,0.7542184120892265,0.3996008694625043,-0.4846236296826461,-0.19134698728653599,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",150.3125,145.125,-24.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.662109375,0.58935546875,-0.25390625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.422931,12318,1669698620,422362089,RU_myo,0.7551273427350966,0.4214479713535275,-0.471985106803306,-0.1714478423652511,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",129.5625,130.0625,-4.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.51806640625,0.54345703125,-0.17333984375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.439692,12319,1669698620,439185142,RU_myo,0.7554147788982277,0.4381967273521636,-0.4624901244111079,-0.15308502468299573,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",106.8125,106.9375,9.8125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.45849609375,0.47314453125,-0.271484375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.461756,12320,1669698620,461185455,RU_myo,0.7518635711556056,0.4528394085406266,-0.45943149050886867,-0.1362363606770021,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",93.125,73.875,23.25,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.44921875,0.6181640625,-0.24267578125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.483055,12321,1669698620,482249021,RU_myo,0.7477005061329487,0.46430675511455843,-0.45863033494554906,-0.12256184622979273,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",76.5625,50.4375,22.5625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.53662109375,0.73193359375,-0.19921875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.499593,12322,1669698620,499057054,RU_myo,0.7449225392889368,0.4705737630411883,-0.4594045025176426,-0.11224191313005775,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",48.375,30.75,29.8125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.52880859375,0.78076171875,-0.11181640625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.521647,12323,1669698620,521339416,RU_myo,0.7437228626742605,0.47254020540206193,-0.461126485638411,-0.10461559184437279,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",23.375,18.1875,29.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.544921875,0.70849609375,-0.0537109375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.542771,12324,1669698620,542294263,RU_myo,0.7426940738496958,0.4723016718810771,-0.46424483281564644,-0.09906249850904472,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9.75,6.25,26.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.6279296875,0.68798828125,-0.04150390625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.559194,12325,1669698620,558825492,RU_myo,0.7412217106577754,0.4720527594060635,-0.4678412724136898,-0.09423965095978305,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",9.5625,0.25,25.625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.68017578125,0.78466796875,-0.03125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.583616,12326,1669698620,582866191,RU_myo,0.7402478434270527,0.4710779069566287,-0.4710779069566287,-0.09057781989163474,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.0,-2.6875,24.5625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.67041015625,0.8134765625,0.02197265625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.602227,12327,1669698620,601812124,RU_myo,0.740197542384431,0.46797184443485057,-0.4747469683075868,-0.08789349888955066,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-7.625,-6.5,24.5625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.6962890625,0.7587890625,0.04296875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.618398,12328,1669698620,618019819,RU_myo,0.7404882036581022,0.4653381194105977,-0.4770570227325855,-0.08691519963807597,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.0625,-7.0,16.25,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.69189453125,0.82177734375,0.10595703125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.641291,12329,1669698620,640857934,RU_myo,0.7410843478464396,0.46270469782769386,-0.47863477646283803,-0.0872187063970155,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-12.4375,-7.5,10.75,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.66796875,0.8232421875,0.1259765625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.662045,12330,1669698620,661584377,RU_myo,0.742225457580786,0.4592520018781113,-0.48006605459480933,-0.08789511997667203,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-16.375,-8.3125,8.3125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.66650390625,0.75146484375,0.16455078125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.678644,12331,1669698620,678231239,RU_myo,0.7430980292745685,0.45678403705058485,-0.4810148311057802,-0.08819520758125268,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.9375,-5.875,5.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.63427734375,0.7021484375,0.1689453125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.701044,12332,1669698620,700619220,RU_myo,0.742913836014144,0.4559899169291546,-0.48205171515278583,-0.08819507829776849,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.125,-6.0625,3.0625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.630859375,0.72021484375,0.13720703125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.721629,12333,1669698620,721215724,RU_myo,0.7421519422811919,0.4561924185056031,-0.4831098464639883,-0.08777156780988189,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",5.3125,-5.875,3.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.6455078125,0.76123046875,0.12841796875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.738669,12334,1669698620,738296985,RU_myo,0.7418233796588237,0.45587286676581823,-0.483949117764918,-0.08758569605153958,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.875,-5.5,3.0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.64599609375,0.75,0.1416015625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.760819,12335,1669698620,760564327,RU_myo,0.742074198548739,0.45447314380604625,-0.4848690107971033,-0.08764752007863046,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.3125,-5.4375,3.6875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.65478515625,0.72412109375,0.14697265625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.778413,12336,1669698620,778124570,RU_myo,0.7423465329393899,0.4529034101636469,-0.48586403570116293,-0.08795603962881605,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-6.75,-5.5,3.375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.65478515625,0.72314453125,0.13330078125,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.797515,12337,1669698620,797342300,RU_myo,0.7428195261166338,0.4513681508325807,-0.48652542667836385,-0.08819837430061922,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.75,-4.5,2.9375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.6689453125,0.73388671875,0.1552734375,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
2022/11/28/23:10:20.821054,12338,1669698620,820654153,RU_myo,0.7433596545339879,0.4498366576825265,-0.4871297645813086,-0.08813624609139326,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.875,-3.375,3.25,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.66015625,0.708984375,0.1650390625,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
