time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/11/28/21:43:27.166591,320,1669693407,165321826,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.140213054440484e-05, -0.19743359999999988, -0.0002024703980874181, -2.5572572, -4.290444847799018e-05, 2.6214999999999997, 2.8710271917341286e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.266480,321,1669693407,265424966,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.140213054440484e-05, -0.19743359999999988, -0.0002024703980874181, -2.5572572, -4.290444847799018e-05, 2.6214999999999997, 2.8710271917341286e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.366434,322,1669693407,365368604,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.140182773045414e-05, -0.19778615999999993, -0.00020246998945126505, -2.557255322627937, -4.2905326501236844e-05, 2.621123, 2.871099304810132e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.466943,323,1669693407,465352535,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(8.02540640602842e-05, -0.21047832, -0.0002009211251082707, -2.5503526, -4.623332107272614e-05, 2.6015189999999997, 3.1444313907037726e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.566731,324,1669693407,565361261,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.827743029455053e-05, -0.2344523999999999, -0.00019791564713994672, -2.5353426, -5.183999181563626e-05, 2.5623110000000002, 3.615081140311476e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.666560,325,1669693407,665421247,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.571345537319077e-05, -0.27887496, -0.00019219472987909564, -2.4996188, -5.89999483771751e-05, 2.4820100000000003, 4.2501923101004664e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.766596,326,1669693407,765349626,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.411096358227992e-05, -0.3187142399999998, -0.0001861162083467068, -2.4530878, -6.364129181841645e-05, 2.395677, 4.752225966228539e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.866655,327,1669693407,865329980,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.368149279200764e-05, -0.34586136, -0.0001813904802194733, -2.4086582, -6.543304408195493e-05, 2.324424, 5.024856905699495e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:27.966985,328,1669693407,965476274,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.4035844985325e-05, -0.3698354399999999, -0.0001762239326505017, -2.3477176, -6.576623052217166e-05, 2.239222, 5.218170034362477e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:28.066422,329,1669693408,65448522,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.49521716429984e-05, -0.38429040000000003, -0.0001720763422892415, -2.2861766, -6.489362082482254e-05, 2.163445, 5.2987279666943696e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:28.166553,330,1669693408,165381908,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.594030079809205e-05, -0.39063647999999995, -0.00016927783426697791, -2.2354428, -6.367170042583806e-05, 2.106518, 5.3104644041567464e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:28.266500,331,1669693408,265355825,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.642785501559453e-05, -0.39204671999999996, -0.00016817606621398457, -2.2126276000000002, -6.302436582727788e-05, 2.082013, 5.303635829404706e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:28.366650,332,1669693408,365353107,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.659026510504758e-05, -0.39239928, -0.00016782394259396628, -2.2051226, -6.280636136525474e-05, 2.074096, 5.300682130635565e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:28.466506,333,1669693408,465405941,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.659026510504758e-05, -0.39239928, -0.00016782394259396628, -2.2051226, -6.280636136525474e-05, 2.074096, 5.300682130635565e-05, 0.04, 0.04)",(),()
2022/11/28/21:43:28.566490,334,1669693408,565417051,,"['panda_joint1', 'panda_joint2', 'panda_joint3', 'panda_joint4', 'panda_joint5', 'panda_joint6', 'panda_joint7', 'panda_finger_joint1', 'panda_finger_joint2']","(7.659026510504758e-05, -0.39239928, -0.00016782394259396628, -2.2051226, -6.280636136525474e-05, 2.074096, 5.300682130635565e-05, 0.04, 0.04)",(),()
